Sample	Samtools_mqc-generalstats-samtools-flagstat_total	STAR_mqc-generalstats-star-uniquely_mapped_percent	Samtools_mqc-generalstats-samtools-mapped_passed_pct	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped
SRR5305480	71230366	87.3	100.0	71230366	27525459.0
SRR5305480._STARpass1		88.28			27834968.0
SRR5305508	83242416	88.38	100.0	83242416	31721297.0
SRR5305508._STARpass1		88.72			31840068.0
SRR5305524	100169750	88.18	100.0	100169750	37840451.0
SRR5305524._STARpass1		88.86			38132354.0
SRR5305546	80033338	85.6	100.0	80033338	29581504.0
SRR5305546._STARpass1		86.12			29761626.0
SRR5305567	66548808	87.89	100.0	66548808	24909717.0
SRR5305567._STARpass1		88.8			25167538.0
SRR5305591	78266104	87.08	100.0	78266104	28941382.0
SRR5305591._STARpass1		88.61			29448193.0
