Sample	num_GCAG_splices	avg_input_read_length	avg_mapped_read_length	unmapped_tooshort	total_reads	mismatch_rate	uniquely_mapped_percent	num_splices	num_noncanonical_splices	num_annotated_splices	unmapped_other	multimapped_percent	multimapped_toomany_percent	unmapped_mismatches_percent	deletion_rate	num_ATAC_splices	multimapped	uniquely_mapped	multimapped_toomany	deletion_length	insertion_rate	unmapped_mismatches	unmapped_tooshort_percent	unmapped_other_percent	insertion_length	num_GTAG_splices
SRR5305480	99253.0	200.0	198.79	1248300	31528887.0	0.3	87.3	7549207.0	19551.0	7528224.0	9457	8.62	0.09	0.0	0.01	6505.0	2716557.0	27525459.0	29114.0	1.36	0.01	0	3.96	0.03	1.29	7423898.0
SRR5305480._STARpass1	51628.0	200.0	198.8	1254746	31528887.0	0.3	88.28	7421344.0	18878.0	7315794.0	6305	7.63	0.09	0.0	0.01	6251.0	2404270.0	27834968.0	28598.0	1.36	0.01	0	3.98	0.02	1.28	7344587.0
SRR5305508	103052.0	200.0	198.83	1229551	35890069.0	0.27	88.38	12331519.0	31883.0	12296209.0	17976	8.0	0.14	0.0	0.01	11557.0	2871417.0	31721297.0	49828.0	1.58	0.02	0	3.42	0.05	1.32	12185027.0
SRR5305508._STARpass1	93498.0	200.0	198.83	1232972	35890069.0	0.27	88.72	12275372.0	29967.0	12098753.0	10753	7.68	0.14	0.0	0.01	10944.0	2757488.0	31840068.0	48788.0	1.58	0.02	0	3.44	0.03	1.32	12140963.0
SRR5305524	78063.0	200.0	198.78	1347752	42914429.0	0.35	88.18	10007363.0	51263.0	9978416.0	21461	8.52	0.11	0.0	0.01	8361.0	3657092.0	37840451.0	47673.0	1.45	0.02	0	3.14	0.05	1.33	9869676.0
SRR5305524._STARpass1	70268.0	200.0	198.78	1352039	42914429.0	0.35	88.86	9899336.0	23797.0	9725303.0	8584	7.87	0.1	0.0	0.01	8218.0	3376939.0	38132354.0	44513.0	1.45	0.02	0	3.15	0.02	1.32	9797053.0
SRR5305546	69325.0	200.0	198.42	1850297	34556986.0	0.38	85.6	9021989.0	19714.0	8998120.0	20712	8.71	0.28	0.0	0.01	7331.0	3008988.0	29581504.0	95485.0	1.51	0.01	0	5.36	0.06	1.33	8925619.0
SRR5305546._STARpass1	64160.0	200.0	198.41	1856407	34556986.0	0.38	86.12	8938741.0	18566.0	8795721.0	6914	8.21	0.27	0.0	0.01	6952.0	2838259.0	29761626.0	93780.0	1.5	0.01	0	5.37	0.02	1.32	8849063.0
SRR5305567	53459.0	200.0	198.43	838750	28340398.0	0.23	87.89	7171053.0	16289.0	7152594.0	14168	8.96	0.14	0.0	0.01	5541.0	2538449.0	24909717.0	39314.0	1.41	0.02	0	2.96	0.05	1.32	7095764.0
SRR5305567._STARpass1	48498.0	200.0	198.44	848346	28340398.0	0.23	88.8	7088354.0	15637.0	6981644.0	5675	8.05	0.13	0.0	0.01	5466.0	2282512.0	25167538.0	36327.0	1.41	0.02	0	2.99	0.02	1.31	7018753.0
SRR5305591	59694.0	200.0	198.7	1024308	33234791.0	0.29	87.08	7558800.0	20713.0	7536522.0	9977	9.71	0.1	0.0	0.01	6369.0	3226793.0	28941382.0	32331.0	1.35	0.01	0	3.08	0.03	1.27	7472024.0
SRR5305591._STARpass1	53232.0	200.0	198.72	1040129	33234791.0	0.29	88.61	7427937.0	19867.0	7318298.0	6646	8.15	0.09	0.0	0.01	6271.0	2708607.0	29448193.0	31216.0	1.34	0.01	0	3.13	0.02	1.26	7348567.0
