run_accession	fastq_ftp	sample_alias	secondary_sample_accession	experiment_alias
SRR5305477	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305477/SRR5305477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305477/SRR5305477_2.fastq.gz	GSM2516806	SRS2018174	GSM2516806
SRR5305481	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305481/SRR5305481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305481/SRR5305481_2.fastq.gz	GSM2516810	SRS2018182	GSM2516810
SRR5305483	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305483/SRR5305483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305483/SRR5305483_2.fastq.gz	GSM2516812	SRS2018179	GSM2516812
SRR5305484	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305484/SRR5305484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305484/SRR5305484_2.fastq.gz	GSM2516813	SRS2018180	GSM2516813
SRR5305490	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305490/SRR5305490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305490/SRR5305490_2.fastq.gz	GSM2516819	SRS2018188	GSM2516819
SRR5305491	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305491/SRR5305491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305491/SRR5305491_2.fastq.gz	GSM2516820	SRS2018187	GSM2516820
SRR5305495	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305495/SRR5305495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305495/SRR5305495_2.fastq.gz	GSM2516824	SRS2018192	GSM2516824
SRR5305499	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305499/SRR5305499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305499/SRR5305499_2.fastq.gz	GSM2516828	SRS2018198	GSM2516828
SRR5305505	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305505/SRR5305505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305505/SRR5305505_2.fastq.gz	GSM2516834	SRS2018201	GSM2516834
SRR5305510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305510/SRR5305510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305510/SRR5305510_2.fastq.gz	GSM2516839	SRS2018207	GSM2516839
SRR5305519	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305519/SRR5305519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305519/SRR5305519_2.fastq.gz	GSM2516848	SRS2018214	GSM2516848
SRR5305522	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305522/SRR5305522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305522/SRR5305522_2.fastq.gz	GSM2516851	SRS2018218	GSM2516851
SRR5305530	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305530/SRR5305530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305530/SRR5305530_2.fastq.gz	GSM2516859	SRS2018227	GSM2516859
SRR5305535	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305535/SRR5305535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305535/SRR5305535_2.fastq.gz	GSM2516864	SRS2018230	GSM2516864
SRR5305539	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305539/SRR5305539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305539/SRR5305539_2.fastq.gz	GSM2516868	SRS2018234	GSM2516868
SRR5305540	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305540/SRR5305540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305540/SRR5305540_2.fastq.gz	GSM2516869	SRS2018239	GSM2516869
